+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  25    |++                                 |ARITHMETIC OPERATOR                                 
|  25    |j                                  |VARIABLE (INT)                                      
|  25    |)                                  |PARENTHESIS                                         
|  25    |{                                  |PARENTHESIS                                         
|  26    |if                                 |KEYWORD                                             
|  26    |(                                  |PARENTHESIS                                         
|  26    |arr                                |ARRAY (int)                                         
|  26    |[                                  |PARENTHESIS                                         
|  26    |j                                  |VARIABLE (INT)                                      
|  26    |]                                  |PARENTHESIS                                         
|  26    |>                                  |COMPARISON OPERATOR                                 
|  26    |arr                                |ARRAY (int)                                         
|  26    |[                                  |PARENTHESIS                                         
|  26    |j                                  |VARIABLE (INT)                                      
|  26    |+                                  |ARITHMETIC OPERATOR                                 
|  26    |1                                  |INTEGER                                             
|  26    |]                                  |PARENTHESIS                                         
|  26    |)                                  |PARENTHESIS                                         
|  26    |{                                  |PARENTHESIS                                         
|  27    |std                                |NAMESPACE                                           
|  27    |::                                 |DOUBLE COLON                                        
|  27    |swap                               |METHOD                                              
|  27    |(                                  |PARENTHESIS                                         
|  27    |arr                                |ARRAY (int)                                         
|  27    |[                                  |PARENTHESIS                                         
|  27    |j                                  |VARIABLE (INT)                                      
|  27    |]                                  |PARENTHESIS                                         
|  27    |,                                  |COMA                                                
|  27    |arr                                |ARRAY (int)                                         
|  27    |[                                  |PARENTHESIS                                         
|  27    |j                                  |VARIABLE (INT)                                      
|  27    |+                                  |ARITHMETIC OPERATOR                                 
|  27    |1                                  |INTEGER                                             
|  27    |]                                  |PARENTHESIS                                         
|  27    |)                                  |PARENTHESIS                                         
|  27    |;                                  |END OF CONSTRUCTION                                 
|  28    |}                                  |PARENTHESIS                                         
|  29    |}                                  |PARENTHESIS                                         
|  30    |}                                  |PARENTHESIS                                         
|  32    |std                                |NAMESPACE                                           
|  32    |::                                 |DOUBLE COLON                                        
|  32    |cout                               |KEYWORD                                             
|  32    |<<                                 |OPERATOR                                            
|  32    |"Sorted array: "                   |STRING                                              
|  32    |<<                                 |OPERATOR                                            
|  32    |std                                |NAMESPACE                                           
|  32    |::                                 |DOUBLE COLON                                        
|  32    |endl                               |KEYWORD                                             
|  32    |;                                  |END OF CONSTRUCTION                                 
|  34    |for                                |KEYWORD                                             
|  34    |(                                  |PARENTHESIS                                         
|  34    |int                                |DATA TYPE                                           
|  34    |i                                  |VARIABLE (INT)                                      
|  34    |=                                  |ASSIGNMENT OPERATOR                                 
|  34    |0                                  |INTEGER                                             
|  34    |;                                  |END OF CONSTRUCTION                                 
|  34    |i                                  |VARIABLE (INT)                                      
|  34    |<                                  |COMPARISON OPERATOR                                 
|  34    |n                                  |POINTER (INT)                                       
|  34    |;                                  |END OF CONSTRUCTION                                 
|  34    |++                                 |ARITHMETIC OPERATOR                                 
|  34    |i                                  |VARIABLE (INT)                                      
|  34    |)                                  |PARENTHESIS                                         
|  34    |{                                  |PARENTHESIS                                         
|  35    |std                                |NAMESPACE                                           
|  35    |::                                 |DOUBLE COLON                                        
|  35    |cout                               |KEYWORD                                             
|  35    |<<                                 |OPERATOR                                            
|  35    |arr                                |ARRAY (int)                                         
|  35    |[                                  |PARENTHESIS                                         
|  35    |i                                  |VARIABLE (INT)                                      
|  35    |]                                  |PARENTHESIS                                         
|  35    |<<                                 |OPERATOR                                            
|  35    |" "                                |STRING                                              
|  35    |;                                  |END OF CONSTRUCTION                                 
|  36    |}                                  |PARENTHESIS                                         
|  37    |}                                  |PARENTHESIS                                         
|  39    |int                                |DATA TYPE                                           
|  39    |main                               |FUNCTION CALL                                       
|  39    |(                                  |PARENTHESIS                                         
|  39    |)                                  |PARENTHESIS                                         
|  39    |{                                  |PARENTHESIS                                         
|  40    |std                                |NAMESPACE                                           
|  40    |::                                 |DOUBLE COLON                                        
|  40    |string                             |DATA TYPE                                           
|  40    |text                               |VARIABLE (STRING)                                   
|  40    |=                                  |ASSIGNMENT OPERATOR                                 
|  40    |"Hello, world!"                    |STRING                                              
|  40    |;                                  |END OF CONSTRUCTION                                 
|  42    |std                                |NAMESPACE                                           
|  42    |::                                 |DOUBLE COLON                                        
|  42    |string                             |DATA TYPE                                           
|  42    |pattern                            |VARIABLE (STRING)                                   
|  42    |=                                  |ASSIGNMENT OPERATOR                                 
|  42    |"world"                            |STRING                                              
|  42    |;                                  |END OF CONSTRUCTION                                 
|  44    |int                                |DATA TYPE                                           
|  44    |n                                  |POINTER (INT)                                       
|  44    |=                                  |ASSIGNMENT OPERATOR                                 
|  44    |text                               |VARIABLE (STRING)                                   
|  44    |.                                  |OPERATOR                                            
|  44    |length                             |METHOD                                              
|  44    |(                                  |PARENTHESIS                                         
|  44    |)                                  |PARENTHESIS                                         
|  44    |;                                  |END OF CONSTRUCTION                                 
|  46    |int                                |DATA TYPE                                           
|  46    |m                                  |VARIABLE (INT)                                      
|  46    |=                                  |ASSIGNMENT OPERATOR                                 
|  46    |pattern                            |VARIABLE (STRING)                                   
|  46    |.                                  |OPERATOR                                            
|  46    |length                             |METHOD                                              
|  46    |(                                  |PARENTHESIS                                         
|  46    |)                                  |PARENTHESIS                                         
|  46    |;                                  |END OF CONSTRUCTION                                 
|  48    |int                                |DATA TYPE                                           
|  48    |pos                                |VARIABLE (INT)                                      
|  48    |=                                  |ASSIGNMENT OPERATOR                                 
|  48    |-                                  |ARITHMETIC OPERATOR                                 
|  48    |1                                  |INTEGER                                             
|  48    |;                                  |END OF CONSTRUCTION                                 
|  50    |for                                |KEYWORD                                             
|  50    |(                                  |PARENTHESIS                                         
|  50    |int                                |DATA TYPE                                           
|  50    |i                                  |VARIABLE (INT)                                      
|  50    |=                                  |ASSIGNMENT OPERATOR                                 
|  50    |0                                  |INTEGER                                             
|  50    |;                                  |END OF CONSTRUCTION                                 
|  50    |i                                  |VARIABLE (INT)                                      
|  50    |<=                                 |COMPARISON OPERATOR                                 
|  50    |n                                  |POINTER (INT)                                       
|  50    |-                                  |ARITHMETIC OPERATOR                                 
|  50    |m                                  |VARIABLE (INT)                                      
|  50    |;                                  |END OF CONSTRUCTION                                 
|  50    |++                                 |ARITHMETIC OPERATOR                                 
|  50    |i                                  |VARIABLE (INT)                                      
|  50    |)                                  |PARENTHESIS                                         
|  50    |{                                  |PARENTHESIS                                         
|  51    |int                                |DATA TYPE                                           
|  51    |j                                  |VARIABLE (INT)                                      
|  51    |;                                  |END OF CONSTRUCTION                                 
|  53    |for                                |KEYWORD                                             
|  53    |(                                  |PARENTHESIS                                         
|  53    |j                                  |VARIABLE (INT)                                      
|  53    |=                                  |ASSIGNMENT OPERATOR                                 
|  53    |0                                  |INTEGER                                             
|  53    |;                                  |END OF CONSTRUCTION                                 
|  53    |j                                  |VARIABLE (INT)                                      
|  53    |<                                  |COMPARISON OPERATOR                                 
|  53    |m                                  |VARIABLE (INT)                                      
|  53    |;                                  |END OF CONSTRUCTION                                 
|  53    |++                                 |ARITHMETIC OPERATOR                                 
|  53    |j                                  |VARIABLE (INT)                                      
|  53    |)                                  |PARENTHESIS                                         
|  53    |{                                  |PARENTHESIS                                         
|  54    |if                                 |KEYWORD                                             
|  54    |(                                  |PARENTHESIS                                         
|  54    |text                               |VARIABLE (STRING)                                   
|  54    |[                                  |PARENTHESIS                                         
|  54    |i                                  |VARIABLE (INT)                                      
|  54    |+                                  |ARITHMETIC OPERATOR                                 
|  54    |j                                  |VARIABLE (INT)                                      
|  54    |]                                  |PARENTHESIS                                         
|  54    |!=                                 |COMPARISON OPERATOR                                 
|  54    |pattern                            |VARIABLE (STRING)                                   
|  54    |[                                  |PARENTHESIS                                         
|  54    |j                                  |VARIABLE (INT)                                      
|  54    |]                                  |PARENTHESIS                                         
